Región,Latitud,Longitud,edad,Carrera,modulo,PT,PTE,PP,UDD,UDA,TF,TIE,CF,MF,AF,FD,CERA,CEER,CEAD,CEMT,CEAG,IE
CAJAMARCA,-7.1637802,-78.500267,19,AS,3,14.2,15.8,15.0,1,8,1,1,15,10,13,38,78.25,124.36,96.91,92.50,107.07,95.32
LIMA,-12.0431805,-77.0282364,17,PA,1,14.4,14.1,14.2,0,10,1,1,10,9,10,29,66.58,78.32,85.15,84.01,86.38,74.22
LIMA,-12.0431805,-77.0282364,18,AS,2,14.0,12.6,13.3,1,7,1,1,12,4,9,25,63.25,100.59,92.50,84.01,84.66,78.51
LIMA,-12.0431805,-77.0282364,19,AS,3,14.6,15.4,15.0,1,8,1,1,12,8,6,26,66.58,99.11,83.68,92.50,93.28,81.47
LIMA,-12.0431805,-77.0282364,19,PA,1,14.1,11.9,13.0,1,9,1,1,10,8,5,23,74.92,87.23,71.91,85.42,91.55,78.18
LIMA,-12.0431805,-77.0282364,18,AS,2,15.0,14.3,14.6,0,8,1,1,15,8,9,32,64.08,78.32,74.85,82.59,79.48,70.92
LIMA,-12.0431805,-77.0282364,19,PA,3,14.9,15.3,15.1,0,10,1,1,12,10,8,30,76.58,93.17,88.09,79.76,93.28,82.13
CUSCO,-13.5226402,-71.9673386,19,PA,3,12.8,13.5,13.2,1,9,1,1,14,12,13,39,74.08,109.50,95.44,95.33,95.00,88.07
CUSCO,-13.5226402,-71.9673386,19,PA,3,13.4,13.6,13.5,0,10,1,1,13,7,10,30,68.25,91.68,85.15,88.25,79.48,77.85
LIMA,-12.0431805,-77.0282364,17,AS,1,17.9,16.9,17.4,0,8,1,1,9,3,6,18,75.75,79.80,77.79,86.84,79.48,75.54
APURIMAC,-14.0000000,-73.0000000,19,PA,3,12.0,12.7,12.4,6,4,1,1,6,8,7,21,57.42,60.50,80.74,75.52,72.59,62.02
LIMA,-12.0431805,-77.0282364,18,PA,1,15.0,15.1,15.0,0,10,1,1,12,10,10,32,59.08,63.47,79.26,74.10,70.86,61.69
HUANCAVELICA,-12.7826099,-74.9726562,21,PA,3,14.2,13.7,13.9,0,10,1,1,15,13,15,43,82.42,97.62,74.85,86.84,95.00,84.44
LIMA,-12.0431805,-77.0282364,19,AS,3,12.8,13.5,13.1,1,8,1,1,11,8,8,27,67.42,67.92,77.79,82.59,65.69,68.29
LIMA,-12.0431805,-77.0282364,17,AS,1,17.7,17.4,17.5,0,8,1,1,14,10,10,34,69.08,69.41,79.26,84.01,88.10,73.56
LIMA,-12.0431805,-77.0282364,17,AS,1,12.7,11.7,12.2,4,4,1,1,14,10,10,34,58.25,50.10,73.38,84.01,72.59,60.04
CAJAMARCA,-7.1637802,-78.500267,19,AS,3,13.1,15.3,14.2,1,8,1,1,14,11,15,40,78.25,102.08,91.03,88.25,101.90,87.08
ICA,-14.06777,-75.7286072,20,PA,1,14.6,13.1,13.9,1,9,1,1,9,7,9,25,75.75,90.20,85.15,81.18,76.03,77.85
LIMA,-12.0431805,-77.0282364,17,AS,1,13.1,10.4,11.7,4,4,1,1,14,6,8,28,66.58,79.80,71.91,76.93,70.86,68.62
